"","SRR11647685","SRR11647686","SRR11647687","SRR11647695","SRR11647696","SRR11647697"
"ENSG00000215788.12",7.34065191196625,7.6332531957743,7.6139343661604,8.36007522885415,7.25585480019374,6.78644607350081
"ENSG00000171680.24",8.11591642534636,8.02769988670247,8.35003398066492,8.870569843251,7.88566260341442,7.33089812757241
"ENSG00000299237.1",4.32204544747478,4.17142669389946,3.81978440788196,4.2699972330958,3.83271405382899,3.20448759227673
"ENSG00000162408.12",8.15767833985435,8.28318172554326,8.62051753788442,8.53748460118258,8.18349586464047,8.58262609850183
"ENSG00000229519.2",4.88310934143014,4.17142669389946,4.06829755909197,4.18068797538561,3.83271405382899,3.91622432200816
"ENSG00000173662.21",4.07852229288954,4.46702883748123,3.81978440788196,3.96627658271108,3.20448759227673,3.71028626417903
"ENSG00000204859.14",7.5254807458063,7.88394810456641,7.6511426061058,8.21422643571713,7.50252869646415,7.90783502556538
"ENSG00000162413.17",8.79754967184929,8.7654444245088,8.56644712461825,8.90265382275142,8.66614869408758,8.91933894300985
"ENSG00000116273.7",8.00261083890476,7.90353320485409,7.77427027880398,8.07088626313646,7.81904849285143,7.68479474062916
"ENSG00000041988.17",6.77499494022501,6.43000291289164,6.26514921369118,6.42355979391807,6.78139891101158,7.17904644536807
"ENSG00000007923.18",8.31884132460545,8.28815396441855,8.66357151896948,8.95968177616506,8.63102062195434,7.52323314667347
"ENSG00000237436.2",4.20883704298722,3.89449094203214,4.16680776179013,4.18068797538561,3.83271405382899,3.71028626417903
"ENSG00000171735.21",9.17091891485067,8.96483732868789,8.20346797519132,8.33676984033388,8.8716214104464,9.79865530204999
"ENSG00000269978.2",4.07852229288954,4.17142669389946,3.81978440788196,3.82885295922841,3.65045114690801,4.20132552544726
"ENSG00000049245.13",10.6633639004431,10.670862673308,10.3937428862186,9.91879025750289,10.7685296275579,11.0569047735705
"ENSG00000269925.1",4.07852229288954,4.46702883748123,4.66051384873074,4.35127424538768,4.27639885326691,3.91622432200816
