"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000183317.18",10.6560957174255,-7.20955600034247,2.76821063502588,1.68793919866267e-06,0.000108164649257009
"ENSG00000116981.5",47.872289606333,-4.28565404564084,0.678984815219635,2.24198311528322e-11,4.92690938118051e-09
"ENSG00000116983.14",36.4017319026413,-2.83813734928907,0.853729346767213,4.20447282151641e-05,0.00162278015087421
"ENSG00000131238.19",2218.62221534762,1.22427554159712,0.403628097733638,0.000315137291952081,0.00809173048693381
"ENSG00000179862.7",127.54653587259,-1.27432416777777,0.434762032909228,0.000379689248684584,0.00936477233889087
"ENSG00000117385.17",413.084796472439,1.92490064922114,0.435315508245714,7.4246250873644e-07,5.6596524923775e-05
"ENSG00000179178.12",53.1797191298435,-2.04398582017421,1.04828848281042,0.00199304578605863,0.0317132197386355
"ENSG00000253313.7",63.1626347939084,-1.6549359372021,0.904112668100329,0.00335020259541369,0.0464467829894047
"ENSG00000117399.15",182.29495317948,1.0939185656529,0.418736415193747,0.00129233675814669,0.023128371637177
"ENSG00000117407.18",40.858044999515,2.44881987787841,0.752834262219662,6.29307054871427e-05,0.0022541390586606
"ENSG00000142945.14",177.497541027519,1.35543884202707,0.429814719406271,0.000173373657666364,0.00512618621994621
"ENSG00000132122.13",134.599681098787,-1.02088582848811,0.39794497943902,0.00164054284608367,0.0274094257839171
"ENSG00000116157.6",167.574420877666,1.78946262692983,0.568304228033661,0.000115473772372127,0.00371603130537374
"ENSG00000121310.18",1219.74072099786,-1.59336487442605,0.360297121389145,9.10814525531453e-07,6.61235080990736e-05
"ENSG00000203985.12",42.6097499168668,-4.80362776392407,1.12898248696814,1.17722206151198e-06,8.18119024115719e-05
"ENSG00000162398.12",108.658661693536,-2.99493962079529,1.11338392309065,0.000243219616699186,0.00660674399793233
"ENSG00000185483.13",228.374564340936,-1.56208575285317,0.380645492419434,3.80287970416305e-06,0.000220341198630996
"ENSG00000117054.16",665.237212424185,-1.09606689690177,0.35591827913926,0.000312814222678238,0.00804902672340745
"ENSG00000137965.12",554.857427032288,1.00411529100957,0.355522458289622,0.000835956764269633,0.0170783026388854
"ENSG00000117114.22",1039.63823376409,-1.1078685309115,0.396651013396521,0.00073933964818382,0.0155471655501275
"ENSG00000171502.15",68.5919945011825,1.39540941319603,0.501547141507157,0.000524126649421701,0.0119709937821569
"ENSG00000016602.10",7659.37427691225,-5.90896562009697,0.988423779381682,8.56848234994102e-11,1.66465659114072e-08
"ENSG00000236915.3",45.8207699502919,-2.04353603341037,0.606510409044842,4.81063726897676e-05,0.00181649961148839
"ENSG00000117228.12",1637.78809680463,1.54982692348165,0.561260077193989,0.000477828248115838,0.0111122943477745
"ENSG00000289582.2",9.04547029069084,3.78753269847664,1.45984886883239,0.000760310090290603,0.0158922399592619
"ENSG00000286802.2",14.4961080971439,3.6955064331415,1.37169582772452,0.000398016956236405,0.00967978824872845
"ENSG00000154451.16",593.673724563741,1.87410253939339,0.518136758575124,2.18959937287204e-05,0.000938680096704176
"ENSG00000183347.16",8450.48881614138,-2.5941082823999,1.04439168662962,0.000446385193053335,0.0105920953445039
"ENSG00000171492.15",461.317157672968,1.13859920307783,0.480131969835891,0.00223161907823488,0.0341290809877013
"ENSG00000069702.12",651.484333854577,-1.14082192555278,0.476009000721308,0.00201864292157292,0.0320504269028307
"ENSG00000023909.11",597.704803061433,1.32771288250029,0.491573828637006,0.000705279829939815,0.0150383661640926
"ENSG00000143036.18",122.587721348014,-1.60435899600405,0.430721172859088,1.71736145850529e-05,0.000772907713234677
"ENSG00000162692.13",507.817009902153,1.42741211490675,0.491045532793717,0.000347013469346308,0.00873550005961249
"ENSG00000060718.23",373.949994229145,7.66227391097028,0.743404482328136,8.77540036393540e-26,2.14058341077476e-22
"ENSG00000134215.17",963.892761632661,-1.69445628057241,0.669090035551071,0.000709080242365345,0.0150798555815326
"ENSG00000302009.1",24.3210132869913,-2.47694962102246,0.741846552110197,4.40467156314126e-05,0.00168935775848592
"ENSG00000134243.13",1854.34325547876,-1.12359503946909,0.49669006464484,0.00286086003374397,0.0414646219864033
"ENSG00000143119.16",902.669500883946,1.4518818740729,0.592302718946502,0.00116715747665803,0.0216099848442361
"ENSG00000064886.15",284.389872714124,3.2774006610954,0.71668594523676,2.31604935858451e-07,2.07703647073353e-05
"ENSG00000231246.4",47.9038011339528,-2.19125929261276,0.697744043834586,9.43512567007448e-05,0.00314844077250516
"ENSG00000155380.14",634.680450908008,1.39768083316606,0.479298615620221,0.000346166579174567,0.00872318322913762
"ENSG00000081026.20",539.999600986802,-1.42335723773029,0.42922529753017,9.1888848163116e-05,0.00308314260418554
"ENSG00000134247.11",1586.50122667845,1.07382735616224,0.327926986252588,0.000174634252417804,0.00515097136545042
"ENSG00000092607.15",25.6524493982499,4.29755411809659,0.804763088335788,9.56337128951346e-09,1.21499643679741e-06
"ENSG00000134240.13",127.674281449053,-7.81874836991292,1.00654957717041,5.3699597303825e-15,2.25843840867621e-12
"ENSG00000134193.16",14.6263935147333,-7.75677530718952,2.8557306701868,6.19405084618552e-07,4.7813760218672e-05
"ENSG00000291135.2",11.528693991816,2.24266650525076,1.11633645716037,0.00210338106382391,0.0329953532410654
"ENSG00000198483.14",322.221726564366,-1.54878756146083,0.432781312113008,3.11369391339322e-05,0.00126376598385026
"ENSG00000271425.10",94.6194450270031,-1.0841871283219,0.398816333725082,0.000964781543098256,0.0188724267688819
"ENSG00000264343.8",37.8068116190907,-1.21504027087635,0.535612201510712,0.00247414547376289,0.0367868436465829
"ENSG00000291233.2",95.276930012115,1.88633592967367,0.595277903334156,0.000100813329960454,0.00332765840016964
"ENSG00000150337.15",255.170506755337,3.93225418664976,0.83431180107777,1.06741272219531e-07,1.06275096051062e-05
"ENSG00000299205.1",9.56197173192693,-2.69905347424397,1.16080231969891,0.000989248016268678,0.0192276708054517
"ENSG00000307101.1",17.6065882396043,-2.69275536034732,0.907073619995576,0.000153586308031509,0.00469477545339926
"ENSG00000143369.16",12872.6588358187,-4.06385827170169,0.585219654707021,1.84007352190334e-13,5.82920953503741e-11
"ENSG00000228126.2",31.3036753600235,-1.89470334607109,0.713709189751046,0.000466574779585441,0.0109329093164531
"ENSG00000143382.17",313.580034901855,-1.16025914514968,0.385842396219757,0.000354622243356995,0.00887210295610992
"ENSG00000143387.15",1981.94206487914,2.52064340632827,0.501196356791541,3.084232942019e-08,3.50195312223159e-06
"ENSG00000143412.11",105.575488423089,-2.20556558132368,0.560966696514779,5.23698670276177e-06,0.000289017684706941
"ENSG00000213190.5",186.375501888236,2.31565940709434,0.547528059550472,1.46679734330209e-06,9.61816870837848e-05
